1,1.0079,Hydrogen,H,1776,1
3,6.941,Lithium,Li,1817,1
4,9.0122,Beryllium,Be,1797,2
11,22.9897,Sodium,Na,1807,1
12,24.305,Magnesium,Mg,1755,2
19,39.0983,Potassium,K,1807,1
20,40.078,Calcium,Ca,1808,2
21,44.9559,Scandium,Sc,1879,3
22,47.867,Titanium,Ti,1791,4
23,50.9415,Vanadium,V,1830,5
24,51.9961,Chromium,Cr,1797,6
25,54.938,Manganese,Mn,1774,7
26,55.845,Iron,Fe,ancient,8
27,58.9332,Cobalt,Co,1735,9
28,58.6934,Nickel,Ni,1751,10
29,63.546,Copper,Cu,ancient,11
30,65.39,Zinc,Zn,ancient,12
37,85.4678,Rubidium,Rb,1861,1
38,87.62,Strontium,Sr,1790,2
39,88.9059,Yttrium,Y,1794,3
40,91.224,Zirconium,Zr,1789,4
41,92.9064,Niobium,Nb,1801,5
42,95.94,Molybdenum,Mo,1781,6
43,98,Technetium,Tc,1937,7
44,101.07,Ruthenium,Ru,1844,8
45,102.9055,Rhodium,Rh,1803,9
46,106.42,Palladium,Pd,1803,10
47,107.8682,Silver,Ag,ancient,11
48,112.411,Cadmium,Cd,1817,12
55,132.9055,Cesium,Cs,1860,1
56,137.327,Barium,Ba,1808,2
57,138.9055,Lanthanum,La,1839,3
58,140.116,Cerium,Ce,1803,101
59,140.9077,Praseodymium,Pr,1885,101
60,144.24,Neodymium,Nd,1885,101
61,145,Promethium,Pm,1945,101
62,150.36,Samarium,Sm,1879,101
63,151.964,Europium,Eu,1901,101
64,157.25,Gadolinium,Gd,1880,101
65,158.9253,Terbium,Tb,1843,101
66,162.5,Dysprosium,Dy,1886,101
67,164.9303,Holmium,Ho,1867,101
68,167.259,Erbium,Er,1842,101
69,168.9342,Thulium,Tm,1879,101
70,173.04,Ytterbium,Yb,1878,101
71,174.967,Lutetium,Lu,1907,101
72,178.49,Hafnium,Hf,1923,4
73,180.9479,Tantalum,Ta,1802,5
74,183.84,Tungsten,W,1783,6
75,186.207,Rhenium,Re,1925,7
76,190.23,Osmium,Os,1803,8
77,192.217,Iridium,Ir,1803,9
78,195.078,Platinum,Pt,1735,10
79,196.9665,Gold,Au,ancient,11
80,200.59,Mercury,Hg,ancient,12
87,223,Francium,Fr,1939,1
88,226,Radium,Ra,1898,2
89,227,Actinium,Ac,1899,3
90,232.0381,Thorium,Th,1829,102
91,231.0359,Protactinium,Pa,1913,102
92,238.0289,Uranium,U,1789,102
93,237,Neptunium,Np,1940,102
94,244,Plutonium,Pu,1940,102
95,243,Americium,Am,1944,102
96,247,Curium,Cm,1944,102
97,247,Berkelium,Bk,1949,102
98,251,Californium,Cf,1950,102
99,252,Einsteinium,Es,1952,102
100,257,Fermium,Fm,1952,102
101,258,Mendelevium,Md,1955,102
102,259,Nobelium,No,1958,102
103,262,Lawrencium,Lr,1961,102
104,261,Rutherfordium,Rf,1964,4
105,262,Dubnium,Db,1967,5
106,266,Seaborgium,Sg,1974,6
107,264,Bohrium,Bh,1981,7
108,277,Hassium,Hs,1984,8
109,268,Meitnerium,Mt,1982,9
110,281,Darmstadtium,Ds,1994,10
111,281,Roentgenium,Rg,1994,11
112,285,Copernicium,Cn,1996,12
